,input,input_type,values_type,size
0,"[49, 47, 32, 5, 46, 20, 6, 49]",<class 'list'>,<class 'int'>,8
1,"[34, 37, 22, 46, 23]",<class 'list'>,<class 'int'>,5
2,"[5, 19, 11, 9, 11, 24, 3, 5, 21, 5, 20, 24, 23, 45]",<class 'list'>,<class 'int'>,14
3,"[48, 6, 46, 7, 25, 9, 4, 36, 35, 31, 10, 26, 24]",<class 'list'>,<class 'int'>,13
4,"[38, 21, 18, 47]",<class 'list'>,<class 'int'>,4
5,"[40, 48, 28, 10, 5, 2, 7, 16, 20, 11, 1, 37, 44, 45]",<class 'list'>,<class 'int'>,14
6,"[37, 36, 33, 8, 44, 28]",<class 'list'>,<class 'int'>,6
7,"[14, 39, 44, 37, 8, 14]",<class 'list'>,<class 'int'>,6
8,"[4, 17, 23, 44, 49, 29, 3, 43, 36, 4, 19, 34, 40, 14]",<class 'list'>,<class 'int'>,14
9,"[25, 13, 33, 13, 28, 18, 38, 9, 35, 15]",<class 'list'>,<class 'int'>,10
10,"[1, 33, 31, 12, 22, 46, 40, 20, 39, 34]",<class 'list'>,<class 'int'>,10
11,"[45, 10, 1, 23, 9, 24, 23, 25, 30, 11, 4, 29]",<class 'list'>,<class 'int'>,12
12,"[22, 46, 41]",<class 'list'>,<class 'int'>,3
13,"[11, 32, 22, 38, 30, 18, 11, 33, 23, 19, 13]",<class 'list'>,<class 'int'>,11
14,"[45, 48, 13, 3, 37, 7, 6, 37, 21, 43, 15, 22, 35]",<class 'list'>,<class 'int'>,13
15,"[30, 37, 45, 20, 29, 47, 33, 45, 24, 43]",<class 'list'>,<class 'int'>,10
16,"[38, 2, 30, 28, 1]",<class 'list'>,<class 'int'>,5
17,"[18, 46, 33, 27, 25, 15, 46, 20, 8, 47, 3, 43, 4, 26]",<class 'list'>,<class 'int'>,14
18,"[42, 40, 38, 6, 21, 16]",<class 'list'>,<class 'int'>,6
19,"[2, 37, 6, 18, 18, 8, 10, 44, 37, 5, 30, 45, 47, 5]",<class 'list'>,<class 'int'>,14
20,"[16, 20, 22, 27]",<class 'list'>,<class 'int'>,4
21,"[8, 3, 24, 34, 3, 27, 22, 29, 5, 35, 24]",<class 'list'>,<class 'int'>,11
22,"[1, 17, 47, 9, 30]",<class 'list'>,<class 'int'>,5
23,"[20, 4, 46, 2, 18, 19, 11, 22, 3]",<class 'list'>,<class 'int'>,9
24,"[35, 5, 34, 41, 46, 40, 24]",<class 'list'>,<class 'int'>,7
25,"[29, 39, 46, 12, 41, 4, 40]",<class 'list'>,<class 'int'>,7
26,"[31, 5, 13, 23, 13, 20, 32, 15, 19, 38, 12, 37, 1]",<class 'list'>,<class 'int'>,13
27,"[48, 6, 20, 24, 45, 5, 48, 47, 14, 31, 24, 45, 40, 13]",<class 'list'>,<class 'int'>,14
28,"[35, 46, 8, 30, 5, 12, 13, 46]",<class 'list'>,<class 'int'>,8
29,"[3, 27, 43, 34, 43, 27, 34, 27, 13]",<class 'list'>,<class 'int'>,9
30,"[47, 13, 15, 33, 16, 31, 18, 35, 21, 4, 47, 47, 18, 34]",<class 'list'>,<class 'int'>,14
31,"[1, 37, 40, 10, 9, 37, 28, 22, 44, 45, 9, 20, 45, 24]",<class 'list'>,<class 'int'>,14
32,"[30, 18, 47, 29, 33, 35, 21]",<class 'list'>,<class 'int'>,7
33,"[26, 35, 12, 30, 42, 34, 37, 34, 15, 29, 18]",<class 'list'>,<class 'int'>,11
34,"[35, 39, 37, 3]",<class 'list'>,<class 'int'>,4
35,"[35, 22, 20, 2, 47, 34, 25, 29, 3, 41, 43, 44, 14]",<class 'list'>,<class 'int'>,13
36,"[17, 19, 38, 17, 4, 13, 29]",<class 'list'>,<class 'int'>,7
37,"[15, 20, 46, 26, 33, 28, 30, 34, 38, 16, 45]",<class 'list'>,<class 'int'>,11
38,"[1, 9, 29, 29, 1, 17, 47, 5]",<class 'list'>,<class 'int'>,8
39,"[38, 25, 22, 14, 21, 17, 35, 48, 10]",<class 'list'>,<class 'int'>,9
40,"[44, 40, 19, 6, 29, 29, 36, 48, 11]",<class 'list'>,<class 'int'>,9
41,"[36, 49, 30, 22, 6]",<class 'list'>,<class 'int'>,5
42,"[34, 44, 4, 29, 46, 45, 30, 10, 32, 8, 19, 30]",<class 'list'>,<class 'int'>,12
43,"[17, 22, 18, 40, 40, 26, 28, 48, 9, 19]",<class 'list'>,<class 'int'>,10
44,"[48, 26, 13, 28, 12]",<class 'list'>,<class 'int'>,5
45,"[22, 29, 8, 33, 47, 21, 42, 5, 32, 38, 46]",<class 'list'>,<class 'int'>,11
46,"[36, 42, 23, 17, 39]",<class 'list'>,<class 'int'>,5
47,"[37, 41, 33, 25, 48, 48, 14, 3, 35, 12, 15, 48]",<class 'list'>,<class 'int'>,12
48,"[40, 15, 14, 24, 41, 10, 20, 49, 9]",<class 'list'>,<class 'int'>,9
49,"[26, 45, 23, 5, 36, 47, 34, 39, 43, 29, 23]",<class 'list'>,<class 'int'>,11
50,"[25, 17, 38, 19, 32, 11, 16, 23, 23, 42, 38, 42, 35]",<class 'list'>,<class 'int'>,13
51,"[43, 30, 24, 30, 28, 4, 15, 19, 32, 40, 43, 26]",<class 'list'>,<class 'int'>,12
52,"[30, 1, 15, 37, 10, 30, 11, 15, 33, 30, 29, 42, 6, 45]",<class 'list'>,<class 'int'>,14
53,"[44, 38, 42, 39, 38]",<class 'list'>,<class 'int'>,5
54,"[36, 12, 21, 19, 2, 17, 32, 9, 38, 19, 24, 33, 34, 23]",<class 'list'>,<class 'int'>,14
55,"[40, 38, 18, 22, 30, 4]",<class 'list'>,<class 'int'>,6
56,"[17, 22, 9, 48, 26, 33, 8, 43, 6, 39, 45, 43, 2]",<class 'list'>,<class 'int'>,13
57,"[4, 40, 39, 36, 26, 21, 7, 43]",<class 'list'>,<class 'int'>,8
58,"[25, 43, 36, 1, 10, 31, 29, 48, 41, 39]",<class 'list'>,<class 'int'>,10
59,"[4, 22, 18, 36, 21, 33, 17, 36, 12, 35, 4, 27]",<class 'list'>,<class 'int'>,12
60,"[18, 29, 6, 49, 15, 1, 11, 37]",<class 'list'>,<class 'int'>,8
61,"[38, 28, 19, 24]",<class 'list'>,<class 'int'>,4
62,"[4, 34, 23, 34, 31, 21, 7]",<class 'list'>,<class 'int'>,7
63,"[41, 44, 39]",<class 'list'>,<class 'int'>,3
64,"[37, 34, 41, 17, 7, 46, 12, 40, 14, 34, 29, 35, 39, 44]",<class 'list'>,<class 'int'>,14
65,"[30, 33, 4, 34, 38, 13, 26, 32, 34, 36, 27, 49, 39]",<class 'list'>,<class 'int'>,13
66,"[23, 9, 39, 36, 15, 47, 5, 49, 17, 45, 48, 35, 37, 36]",<class 'list'>,<class 'int'>,14
67,"[44, 38, 4, 35, 13, 14, 46, 3, 36, 4, 20, 32]",<class 'list'>,<class 'int'>,12
68,"[47, 41, 41, 49, 30, 49, 6, 41]",<class 'list'>,<class 'int'>,8
69,"[40, 45, 30, 37, 17, 10, 31, 24, 27, 32, 12, 38, 25]",<class 'list'>,<class 'int'>,13
70,"[42, 4, 3, 5, 21, 18]",<class 'list'>,<class 'int'>,6
71,"[20, 21, 41, 12, 17, 27, 17, 7, 46, 39, 46, 40, 35, 41]",<class 'list'>,<class 'int'>,14
72,"[13, 31, 47, 26, 37, 41, 35]",<class 'list'>,<class 'int'>,7
73,"[43, 17, 31, 38, 37, 29, 31, 9, 6, 5]",<class 'list'>,<class 'int'>,10
74,"[9, 45, 42, 9]",<class 'list'>,<class 'int'>,4
75,"[48, 19, 32, 19]",<class 'list'>,<class 'int'>,4
76,"[36, 15, 19, 28, 21]",<class 'list'>,<class 'int'>,5
77,"[16, 24, 32, 21, 11, 13]",<class 'list'>,<class 'int'>,6
78,"[13, 40, 34, 22, 35, 43, 34, 2, 9, 25, 1, 21, 40]",<class 'list'>,<class 'int'>,13
79,"[2, 15, 47, 49, 9, 13, 4, 47, 29, 31, 36]",<class 'list'>,<class 'int'>,11
80,"[16, 45, 41, 14, 18]",<class 'list'>,<class 'int'>,5
81,"[3, 32, 48, 34, 3]",<class 'list'>,<class 'int'>,5
82,"[9, 48, 10, 14, 25, 24]",<class 'list'>,<class 'int'>,6
83,"[22, 6, 49, 7, 46, 18, 16, 33, 4, 28, 20, 17, 31]",<class 'list'>,<class 'int'>,13
84,"[43, 39, 37, 19]",<class 'list'>,<class 'int'>,4
85,"[18, 25, 10, 26, 13, 36, 21, 3, 44, 14]",<class 'list'>,<class 'int'>,10
86,"[21, 14, 5, 8, 33, 17, 34, 45, 6, 16]",<class 'list'>,<class 'int'>,10
87,"[28, 31, 22, 36, 10, 9, 20, 13]",<class 'list'>,<class 'int'>,8
88,"[15, 36, 6, 29, 36, 9, 31, 42, 12]",<class 'list'>,<class 'int'>,9
89,"[38, 3, 17, 35, 11]",<class 'list'>,<class 'int'>,5
90,"[13, 10, 36, 36, 31, 31, 27, 21, 15]",<class 'list'>,<class 'int'>,9
91,"[38, 30, 23, 9, 3, 24]",<class 'list'>,<class 'int'>,6
92,"[31, 13, 7]",<class 'list'>,<class 'int'>,3
93,"[35, 9, 33, 34, 1]",<class 'list'>,<class 'int'>,5
94,"[44, 35, 27, 44, 43, 49, 11, 40, 4, 20, 49, 26]",<class 'list'>,<class 'int'>,12
95,"[44, 8, 25, 27, 24, 6, 23, 21, 16, 36, 2, 26]",<class 'list'>,<class 'int'>,12
96,"[5, 42, 13, 34, 13, 22, 45, 16, 11, 40]",<class 'list'>,<class 'int'>,10
97,"[25, 40, 10, 28, 21, 24, 41, 18, 15, 7, 44]",<class 'list'>,<class 'int'>,11
98,"[7, 21, 43, 31, 8, 44, 42, 33, 17, 25, 38, 32, 23, 23]",<class 'list'>,<class 'int'>,14
99,"[27, 18, 40, 11, 7, 3, 23, 25, 32, 33]",<class 'list'>,<class 'int'>,10
100,"[43, 29, 8, 5, 15, 33]",<class 'list'>,<class 'int'>,6
101,"[32, 18, 15, 23, 18, 48]",<class 'list'>,<class 'int'>,6
102,"[24, 6, 49, 47, 24, 32, 49, 15, 17]",<class 'list'>,<class 'int'>,9
103,"[18, 6, 26]",<class 'list'>,<class 'int'>,3
104,"[49, 22, 14, 41]",<class 'list'>,<class 'int'>,4
105,"[25, 49, 11, 30, 18, 35, 27, 46, 24, 14, 5, 11, 42, 27]",<class 'list'>,<class 'int'>,14
106,"[13, 1, 14, 5, 10, 20, 13, 45, 38]",<class 'list'>,<class 'int'>,9
107,"[10, 13, 46, 3, 15, 19, 7, 3]",<class 'list'>,<class 'int'>,8
108,"[28, 14, 36, 45, 9, 43, 10, 47]",<class 'list'>,<class 'int'>,8
109,"[12, 2, 19]",<class 'list'>,<class 'int'>,3
110,"[38, 42, 27, 14, 11, 8]",<class 'list'>,<class 'int'>,6
111,"[2, 43, 23, 27, 37, 29, 31, 9, 33, 38, 25]",<class 'list'>,<class 'int'>,11
112,"[23, 41, 36, 19, 49, 38, 7, 28, 40, 5, 46, 43, 10]",<class 'list'>,<class 'int'>,13
113,"[9, 37, 32, 8, 18, 24, 15, 41, 48]",<class 'list'>,<class 'int'>,9
114,"[35, 46, 39, 40, 23, 31, 20]",<class 'list'>,<class 'int'>,7
115,"[29, 38, 17, 18, 48, 49, 21, 33, 30, 39, 44]",<class 'list'>,<class 'int'>,11
116,"[22, 23, 39, 23, 7, 15, 13, 43, 33, 31, 14, 33, 49]",<class 'list'>,<class 'int'>,13
117,"[27, 38, 4, 36, 39, 15]",<class 'list'>,<class 'int'>,6
118,"[20, 27, 34, 26, 47, 44]",<class 'list'>,<class 'int'>,6
119,"[18, 42, 8]",<class 'list'>,<class 'int'>,3
120,"[18, 9, 41, 28, 15, 15, 20, 12, 21, 24, 7, 40, 1, 1]",<class 'list'>,<class 'int'>,14
121,"[13, 4, 49, 41, 46, 20, 22, 16, 41, 34, 46, 19, 12]",<class 'list'>,<class 'int'>,13
122,"[19, 18, 46, 11, 31, 4, 21]",<class 'list'>,<class 'int'>,7
123,"[44, 3, 24, 48, 9, 45, 25, 21, 1, 43, 18, 28]",<class 'list'>,<class 'int'>,12
124,"[11, 3, 19]",<class 'list'>,<class 'int'>,3
125,"[27, 34, 7]",<class 'list'>,<class 'int'>,3
126,"[40, 16, 5, 38, 11, 17, 42, 1, 47, 24, 37, 4]",<class 'list'>,<class 'int'>,12
127,"[24, 15, 27, 8, 5]",<class 'list'>,<class 'int'>,5
128,"[29, 3, 49, 25]",<class 'list'>,<class 'int'>,4
129,"[14, 36, 19]",<class 'list'>,<class 'int'>,3
130,"[41, 7, 16, 1, 6]",<class 'list'>,<class 'int'>,5
131,"[24, 26, 34, 41, 17, 27, 15, 16, 26, 47, 6, 6, 41]",<class 'list'>,<class 'int'>,13
132,"[27, 14, 30, 4]",<class 'list'>,<class 'int'>,4
133,"[49, 37, 12, 36, 7, 30, 45, 8, 12, 12, 20, 4, 9]",<class 'list'>,<class 'int'>,13
134,"[24, 29, 42, 18]",<class 'list'>,<class 'int'>,4
135,"[5, 14, 13, 31, 23, 38, 1, 16]",<class 'list'>,<class 'int'>,8
136,"[3, 5, 2, 45, 11, 22, 10, 40, 2, 1, 35, 34, 14, 22]",<class 'list'>,<class 'int'>,14
137,"[5, 8, 19, 23, 46, 8, 20, 2, 25, 7, 41, 37, 28]",<class 'list'>,<class 'int'>,13
138,"[8, 33, 27, 10, 8, 22, 25, 44, 9, 27, 48, 32]",<class 'list'>,<class 'int'>,12
139,"[12, 30, 7, 40, 19, 37, 2, 34, 34, 42, 45]",<class 'list'>,<class 'int'>,11
140,"[10, 7, 9, 4, 15]",<class 'list'>,<class 'int'>,5
141,"[48, 9, 32, 29, 37, 5, 9, 5, 40, 5, 48, 15, 19, 5]",<class 'list'>,<class 'int'>,14
142,"[47, 18, 37, 18, 48, 40, 11]",<class 'list'>,<class 'int'>,7
143,"[19, 16, 41, 11, 34, 47, 25, 30, 32, 45, 23, 12]",<class 'list'>,<class 'int'>,12
144,"[26, 5, 28, 14, 18, 9]",<class 'list'>,<class 'int'>,6
145,"[30, 24, 49, 43, 46, 48, 13, 1, 41, 27]",<class 'list'>,<class 'int'>,10
146,"[46, 38, 31, 14, 9, 45, 16, 30, 8, 28, 20, 41]",<class 'list'>,<class 'int'>,12
147,"[8, 42, 40, 43]",<class 'list'>,<class 'int'>,4
148,"[49, 41, 18, 27, 5, 45, 2, 46, 4, 44, 48, 48, 13, 27]",<class 'list'>,<class 'int'>,14
149,"[9, 37, 28, 21, 18, 27, 1]",<class 'list'>,<class 'int'>,7
150,"[30, 34, 33, 10, 41, 11, 28, 31, 10]",<class 'list'>,<class 'int'>,9
151,"[32, 45, 47, 19, 37, 29, 44, 24, 18, 35, 40, 20, 44, 11]",<class 'list'>,<class 'int'>,14
152,"[20, 20, 11, 37, 14, 30, 14]",<class 'list'>,<class 'int'>,7
153,"[24, 42, 1, 43, 11, 32, 24, 47, 7, 18, 13, 41, 29]",<class 'list'>,<class 'int'>,13
154,"[45, 16, 14, 19, 19, 4, 2, 48, 30, 14, 42, 29]",<class 'list'>,<class 'int'>,12
155,"[24, 26, 23, 6, 19]",<class 'list'>,<class 'int'>,5
156,"[44, 33, 17, 16, 4, 37, 38, 20, 48, 27, 43, 9, 49, 30]",<class 'list'>,<class 'int'>,14
157,"[17, 28, 7, 2, 31, 34, 13, 17, 25, 28]",<class 'list'>,<class 'int'>,10
158,"[14, 17, 19, 9, 29, 4, 14, 48, 13, 43, 41, 9]",<class 'list'>,<class 'int'>,12
159,"[14, 40, 10, 40, 46, 37, 49, 26, 6, 18, 2, 2, 16, 47]",<class 'list'>,<class 'int'>,14
160,"[49, 2, 28, 27, 19, 24, 28]",<class 'list'>,<class 'int'>,7
161,"[38, 21, 6, 32, 4, 5, 48, 36, 18, 46, 41]",<class 'list'>,<class 'int'>,11
162,"[45, 44, 17, 29, 33, 7, 13]",<class 'list'>,<class 'int'>,7
163,"[18, 32, 6, 22, 37, 47, 16]",<class 'list'>,<class 'int'>,7
164,"[49, 40, 14, 35, 49, 45, 30, 46, 12, 36, 38]",<class 'list'>,<class 'int'>,11
165,"[47, 20, 38, 11]",<class 'list'>,<class 'int'>,4
166,"[29, 30, 11, 37, 3, 47, 20, 8, 17]",<class 'list'>,<class 'int'>,9
167,"[10, 16, 19, 46, 21, 4, 21, 34]",<class 'list'>,<class 'int'>,8
168,"[44, 3, 27, 17, 17, 40, 48]",<class 'list'>,<class 'int'>,7
169,"[23, 28, 5, 24, 36, 48, 20, 14, 24, 26, 20]",<class 'list'>,<class 'int'>,11
170,"[29, 45, 45, 7, 3, 47, 7, 37, 26, 35, 38, 41]",<class 'list'>,<class 'int'>,12
171,"[13, 11, 37, 39, 46, 5, 31, 32, 1, 23]",<class 'list'>,<class 'int'>,10
172,"[17, 20, 43, 12, 38, 11, 38, 23, 14]",<class 'list'>,<class 'int'>,9
173,"[9, 7, 35, 44, 20, 38, 7, 47, 24, 8, 22]",<class 'list'>,<class 'int'>,11
174,"[42, 11, 19, 4, 31, 41, 21, 48, 12, 14, 14, 43, 9, 6]",<class 'list'>,<class 'int'>,14
175,"[47, 12, 23, 46]",<class 'list'>,<class 'int'>,4
176,"[6, 2, 7, 36, 35, 39, 48, 18, 44, 22, 29]",<class 'list'>,<class 'int'>,11
177,"[25, 20, 7, 28, 7, 45, 31, 22]",<class 'list'>,<class 'int'>,8
178,"[24, 12, 21]",<class 'list'>,<class 'int'>,3
179,"[8, 38, 43, 5, 16, 1]",<class 'list'>,<class 'int'>,6
180,"[43, 14, 15, 34]",<class 'list'>,<class 'int'>,4
181,"[28, 21, 32, 37, 20, 38, 31, 21, 3, 45]",<class 'list'>,<class 'int'>,10
182,"[5, 2, 35, 28, 32, 2, 6, 35, 6, 18, 16, 8, 35]",<class 'list'>,<class 'int'>,13
183,"[48, 39, 33, 37, 46, 29, 10, 30, 4, 13, 48, 10, 15, 16]",<class 'list'>,<class 'int'>,14
184,"[47, 40, 5, 9, 30, 26]",<class 'list'>,<class 'int'>,6
