,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,14,14,14,14,14,15,13
1,10,10,10,10,10,11,9
2,13,13,13,13,13,14,12
3,13,13,13,13,13,14,12
4,3,3,3,3,3,4,2
5,1,1,1,1,1,2,1
6,0,0,0,0,0,1,0
7,7,7,7,7,7,8,6
8,1,1,1,1,1,2,1
9,11,11,11,11,11,12,10
10,9,9,9,9,9,10,8
11,3,3,3,3,3,4,2
12,12,12,12,12,12,13,11
13,9,9,9,9,9,10,8
14,1,1,1,1,1,2,1
15,8,8,8,8,8,9,7
16,11,11,11,11,11,12,10
17,3,3,3,3,3,4,2
18,8,8,8,8,8,9,7
19,3,3,3,3,3,4,2
20,3,3,3,3,3,4,2
21,12,12,12,12,12,13,11
22,0,0,0,0,0,1,0
23,1,1,1,1,1,2,1
24,7,7,7,7,7,8,6
25,0,0,0,0,0,1,0
26,7,7,7,7,7,8,6
27,13,13,13,13,13,14,12
28,6,6,6,6,6,7,5
29,8,8,8,8,8,9,7
30,3,3,3,3,3,4,2
31,5,5,5,5,5,6,4
32,11,11,11,11,11,12,10
33,4,4,4,4,4,5,3
34,13,13,13,13,13,14,12
35,7,7,7,7,7,8,6
36,14,14,14,14,14,15,13
37,6,6,6,6,6,7,5
38,8,8,8,8,8,9,7
39,1,1,1,1,1,2,1
40,3,3,3,3,3,4,2
41,9,9,9,9,9,10,8
42,8,8,8,8,8,9,7
43,12,12,12,12,12,13,11
44,4,4,4,4,4,5,3
45,6,6,6,6,6,7,5
46,10,10,10,10,10,11,9
47,11,11,11,11,11,12,10
48,11,11,11,11,11,12,10
49,7,7,7,7,7,8,6
50,7,7,7,7,7,8,6
51,11,11,11,11,11,12,10
52,2,2,2,2,2,3,1
53,4,4,4,4,4,5,3
54,5,5,5,5,5,6,4
55,7,7,7,7,7,8,6
56,11,11,11,11,11,12,10
57,9,9,9,9,9,10,8
58,13,13,13,13,13,14,12
59,12,12,12,12,12,13,11
60,10,10,10,10,10,11,9
61,8,8,8,8,8,9,7
62,14,14,14,14,14,15,13
63,2,2,2,2,2,3,1
64,12,12,12,12,12,13,11
65,5,5,5,5,5,6,4
66,13,13,13,13,13,14,12
67,13,13,13,13,13,14,12
68,13,13,13,13,13,14,12
69,12,12,12,12,12,13,11
70,8,8,8,8,8,9,7
71,6,6,6,6,6,7,5
72,2,2,2,2,2,3,1
73,11,11,11,11,11,12,10
74,9,9,9,9,9,10,8
75,2,2,2,2,2,3,1
76,5,5,5,5,5,6,4
77,5,5,5,5,5,6,4
78,3,3,3,3,3,4,2
79,6,6,6,6,6,7,5
80,0,0,0,0,0,1,0
81,0,0,0,0,0,1,0
82,2,2,2,2,2,3,1
83,0,0,0,0,0,1,0
84,0,0,0,0,0,1,0
85,7,7,7,7,7,8,6
86,9,9,9,9,9,10,8
87,12,12,12,12,12,13,11
88,2,2,2,2,2,3,1
89,7,7,7,7,7,8,6
90,0,0,0,0,0,1,0
91,9,9,9,9,9,10,8
92,5,5,5,5,5,6,4
93,0,0,0,0,0,1,0
94,1,1,1,1,1,2,1
95,10,10,10,10,10,11,9
96,6,6,6,6,6,7,5
97,2,2,2,2,2,3,1
98,13,13,13,13,13,14,12
99,6,6,6,6,6,7,5
100,4,4,4,4,4,5,3
101,11,11,11,11,11,12,10
102,9,9,9,9,9,10,8
103,5,5,5,5,5,6,4
104,3,3,3,3,3,4,2
105,4,4,4,4,4,5,3
106,10,10,10,10,10,11,9
107,11,11,11,11,11,12,10
108,1,1,1,1,1,2,1
109,5,5,5,5,5,6,4
110,3,3,3,3,3,4,2
111,0,0,0,0,0,1,0
